V1,V2,V3,V5,V7,V8,V9,V10,gc,term,Attn_MariaAdam,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_3,Speak_4,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10,dv11,dv12,dv13,dv14,dv15,dv16,dv17,dv18,dv19,dv20,SubmitTime1,SubmitTime2,SubmitTime3,SubmitTime4,SubmitTime5,SubmitTime6,SubmitTime7,SubmitTime8,SubmitTime9,SubmitTime10,SubmitTime11,SubmitTime12,SubmitTime13,SubmitTime14,SubmitTime15,SubmitTime16,SubmitTime17,SubmitTime18,SubmitTime19,SubmitTime20,time_11,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_12,time_120,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_21,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_22,time_220,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_41,time_410,time_411,time_412,time_413,time_414,time_415,time_416,time_417,time_418,time_419,time_42,time_420,time_43,time_44,time_45,time_46,time_47,time_48,time_49,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,questioCRT1,questioCRT2,questioCRT3,questioCRT4,questioCRT5,answerCRT1,answerCRT2,answerCRT3,answerCRT4,answerCRT5,v191,v192,v193,v194,v195,timeCRT_11,timeCRT_12,timeCRT_13,timeCRT_14,timeCRT_15,timeCRT_21,timeCRT_22,timeCRT_23,timeCRT_24,timeCRT_25,timeCRT_41,timeCRT_42,timeCRT_43,timeCRT_44,timeCRT_45,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,Include,cond
R_9KVLtrGJAQUOuRD,Default Response Set,Anonymous,0,0,11/3/15 20:13,11/3/15 20:33,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,21.978,28.698,15.805,13.516,24.239,31.1,24.082,30.347,17.393,28.369,23.301,28.543,12.969,52.563,18.147,44.849,24.544,53.776,18.414,12.221,15.463,25.036,22.087,26.921,11.506,50.951,9.254,43.058,19.462,52.845,15.914,27.225,10.837,13.795,10.757,22.614,29.254,22.133,28.729,15.72,19.996,25.036,22.087,26.921,11.506,50.951,9.254,43.058,22.366,52.845,15.914,27.225,10.837,13.795,10.757,22.614,29.254,22.133,28.729,15.72,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,2,4,4,4,1,1,1,1,1,4,29,Yes,2.25,5,56.374,9.742,27.833,75.263,50.994,53.828,5.834,21.35,65.346,45.765,53.828,5.834,21.35,65.346,45.765,1,1,1,1,1,,4,1,21,1,The medical related situations.,Es corecto de mantener relaciones de pasado un secreto para mantener este relacion feliz y vivo?,1,,2,16,3,5,6,5,4,7,7,7,7,50,0,0,27,,Yes,0
R_0AInah8LLztKWy1,Default Response Set,Anonymous,0,0,11/3/15 20:21,11/3/15 20:44,1,,,,1,,,,,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,18.403,21.244,41.475,15.895,14.2,24.886,38.72,29.548,22.893,15.275,21.735,15.088,27.943,25.245,25.289,21.295,39.491,19.785,53.385,12.108,16.939,9.433,12.84,13.949,22.821,23.912,21.033,17.618,27.684,17.906,31.498,19.566,8.074,37.314,13.974,13.104,23.472,35.417,28.13,20.723,16.939,9.433,12.84,13.949,22.821,23.912,21.033,17.618,27.684,17.906,31.498,19.566,8.074,37.314,13.974,13.104,23.472,35.417,28.13,20.723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,5,2,2,4,2,2,4,4,2,1,1,1,1,1,4,I don't know.,No,2.25,5,43.622,57.727,14.376,83.349,77.332,41.591,52.968,11.109,5.339,73.666,42.569,52.968,13.478,70.87,74.58,2,1,2,2,2,4,,2,20,2,,ÀEs apropriado mantener tu relacin pasada en secreto para tener a l contento y continuar la relacin?,1,,1,15,0,3,4,5,4,7,7,7,7,0,1,5,5,Ask us for our reasoning.,Yes,0
R_8GJvqOPQeS67d5j,Default Response Set,Anonymous,0,0,11/3/15 20:34,11/3/15 20:54,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,14.28,9.262,24.734,30.047,32.117,18.295,18.672,14.711,37.892,10.053,9.707,11.583,16.296,24.861,23.446,33.677,25.771,14.039,21.939,7.24,12.871,8.902,8.957,10.698,15.207,22.224,20.126,32.639,24.837,12.753,20.797,8.329,6.016,22.632,28.929,29.648,17.289,17.362,12.225,36.188,12.871,8.902,8.957,10.698,15.207,22.224,20.126,32.639,24.837,12.753,20.797,8.329,6.016,22.632,29.633,29.648,17.289,18.402,12.225,36.188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,3,4,5,3,1,4,3,4,2,2,3,1,1,1,1,1,4,29,No,2.25,5,35.944,25.479,25.015,36.909,46.097,1.243,4.91,17.977,1.221,8.803,1.243,4.91,17.977,1.574,8.803,1,1,1,2,1,,4,2,20,1,"The ones about abortion. I've known friends to make those decisions, and I support them.",ÀEs apropriada mantener usted su relacin anterior como un secreto para preservar la relacin y la felicidad de l/ella?,1,,1,13,0,3,6,5,4,7,7,7,7,3,1,4,6,"It was a bit obvious what the distinctions were between some of the questions; when one question asks if I would smother a male baby and the other a female, I'm not going to reveal my subconscious thoughts about gender roles. But maybe that wasn't your intention. Either way, I hope my responses are helpful!",Yes,0
R_dbCjlCGUF0Vo80R,Default Response Set,Anonymous,0,0,11/3/15 20:37,11/3/15 20:54,1,,,,1,,,,1,1,,,1,Chinese,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,14.633,15.432,19.708,17.015,18.866,16.945,12.361,32.465,23.757,36.405,48.631,33.598,17.663,11.972,11.507,17.269,27.449,16.385,23.597,15.098,13.38,31.834,44.941,26.776,15.592,10.068,9.019,16.175,25.997,15.4,14.142,14.37,10.241,18.556,10.309,16.744,13.238,11.176,25.827,21.002,13.38,31.834,47.589,31.343,16.858,10.068,10.378,16.175,25.997,15.4,22.643,14.37,14.158,18.556,15.76,18.027,15.821,11.176,31.114,22.585,1,1,3,4,2,1,2,1,1,1,2,1,2,1,5,2,3,1,4,2,5,1,5,3,1,3,4,1,1,4,3,4,1,1,1,1,1,9,45,Yes,2.50,5,75.633,27.73,10.63,37.636,47.991,38.064,7.951,8.977,11.55,43.07,38.064,7.951,8.977,11.55,43.07,1,1,1,1,1,,4,2,19,2,,? Est bien s no le dices a su enamorado sobre la relacin en el pasado para mantener la situacin ahora? ,1,,1,14,0,5,5,5,5,7,7,7,7,0,0,22,29,,Yes,0
R_9SwOdeEyNHHfRXL,Default Response Set,Anonymous,0,0,11/3/15 20:33,11/3/15 21:20,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,15.703,26.853,32.933,54.908,27.518,14.364,26.831,33.503,28.36,21.227,39.436,16.232,71.16,53.301,89.508,63.476,23.468,20.546,8.451,79.392,14.58,16.049,11.588,15.309,24.124,43.309,88.536,52.388,22.113,19.3,7.12,3.463,73.404,29.816,52.696,25.955,11.916,18.195,11.254,26.853,14.58,20.262,36.286,15.309,24.124,43.309,88.536,58.193,22.113,19.691,7.12,25.761,73.404,29.816,52.696,25.955,11.916,23.266,11.254,26.853,1,3,3,1,1,1,1,2,1,2,1,3,1,1,1,1,1,5,1,1,4,2,3,3,3,2,3,1,1,5,5,1,1,1,1,1,1,4,29,No ,2.25,5,106.128,47.412,14.164,111.37,126.175,63.715,18.501,9.553,54.959,2.982,63.715,18.501,9.553,54.959,3.198,1,1,1,1,2,4,,1,22,1,The swerving to avoid the mother and baby is just a modified version of the classic trolley problem.,ÀSera una decisin apropriada que usted mantenga en secreto su relacin anterior para mantenerle feliz y evitar que la relacin se pierda?,1,,2,19,12,5,6,6,5,7,7,7,7,0,19,8,72,,Yes,0
R_4Iq46TuRzzEztvD,Default Response Set,Anonymous,0,0,11/3/15 16:35,11/3/15 21:41,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,120.86,88.491,27.733,113.891,82.097,123.826,125.829,93.622,82.921,49.709,71.31,154.03,98.057,54.744,38.298,184.73,41.412,91.788,59.356,75.996,109.812,48.454,62.986,20.767,96.759,46.112,37.023,183.433,40.135,55.028,49.747,86.931,21.265,26.391,112.472,78.874,107.947,112.911,28.736,68.32,109.812,48.454,63.81,149.257,96.759,46.112,37.023,183.433,40.135,90.047,49.747,86.931,39.261,26.391,112.472,78.874,107.947,112.911,37.615,68.32,1,1,2,4,1,1,1,1,1,5,1,1,8,1,1,1,1,1,5,1,4,1,3,2,4,4,3,1,1,5,5,1,1,1,1,1,1,4,30,No,3.50,5,15828.625,67.579,21.676,76.701,11.978,12.858,15.739,10.635,13.51,8.093,15809.833,47.917,10.635,13.51,8.093,8,2,1,1,1,4,,1,20,1,the medicine one (is it worth it to save some people knowing some will die)....also choosing who dies like the mother child vs other children (google...save the fat man) and the terrorist one.,Debes guardar tu secreto de el/ella para mantener tus relaciones con el/ella?,1,,2,2,6,5,5,6,4,7,7,7,7,15,5,20,10,You should mention that the scenarios will appear similar but contain subtle changes. I think I didn't even read one of the scenarios because I thought it was a repeat.,Yes,0
R_9vPPejFP6OGQeuF,Default Response Set,Anonymous,0,0,11/3/15 21:25,11/3/15 21:53,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,21.117,26.074,34.582,25.524,19.263,25.838,19.218,26.092,30.564,19.104,69.729,19.895,33.564,55.931,32.851,27.199,20.432,34.146,39.076,14.309,15.812,12.427,9.617,17.945,26.575,11.925,17.321,20.217,18.732,18.302,15.637,20.978,10.726,30.57,19.686,17.396,22.997,16.019,22.286,27.759,19.48,18.262,68.556,17.945,32.563,54.109,31.416,25.27,18.732,33.367,38.041,25.257,13.188,33.56,24.412,17.396,24.448,17.676,25.172,29.636,2,4,8,1,2,7,4,2,1,2,5,3,2,2,2,1,2,2,3,2,4,2,2,4,2,4,4,1,2,4,4,2,1,1,1,1,1,4,29,Yes,2.25,5,181.242,108.97,64.92,114.925,135.385,102.459,1.7,3.354,1.602,73.167,178.533,108.457,3.354,93.945,73.167,5,8,1,3,1,4,,1,21,1,Smothering Baby,Es apropiable que tu mantengas tus previas relaciones en secreto para mantenerl@ feliz y mantenerla relacion viva.,1,,2,10,10,6,7,6,6,7,7,6,6,79,34,42,48,,Yes,0
R_9uWxIdMMeNLSx5b,Default Response Set,Anonymous,0,0,11/3/15 17:37,11/3/15 22:05,1,,,,1,,,,,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,27.14,24.159,90.935,34.799,15.348,41.478,40.265,47.457,21.319,10.582,11.584,14.708,27.432,15.946,18.801,38.282,75.623,11.78,27.462,9.356,25.33,9.65,10.335,8.102,19.668,13.453,16.982,35.75,69.655,10.086,26.522,23.165,8.446,29.55,33.885,14.154,4.521,38.913,15.309,20.062,25.33,9.65,10.335,8.102,19.668,13.453,16.982,35.75,69.655,10.086,26.522,23.165,8.446,34.03,33.885,14.154,24.615,38.913,15.309,20.062,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,5,2,5,5,2,1,5,3,1,5,4,5,1,1,1,1,1,4,29,Yes,2.25,3,285.896,68.292,20.986,139.485,215.474,220.334,0.892,9.901,4.41,4.651,225.677,22.076,9.901,138.368,4.651,2,2,1,5,1,,4,2,20,1,The surgeon and the pregnant woman. ,Es apropiado para escondes t relacin de antes como secreto para mantener la felicidad de l/ ella y la relacin viva?,1,,1,12,0.25,4,6,6,5,7,7,7,6,0,9,30,30,,Yes,0
R_4GaGiRZj0iVE4UR,Default Response Set,Anonymous,0,0,11/3/15 22:07,11/3/15 22:20,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,12.035,5.928,11.808,16.482,5.368,8.668,14.861,6.9,26.392,13.386,19.986,5.118,5.823,7.866,10.271,13.703,9.26,10.961,10.322,17.131,4.277,11.385,17.976,3.711,4.3,3.919,9.264,10.242,2.48,4.156,9.38,3.366,16.073,9.546,4.98,4.267,7.631,4.167,5.482,25.354,4.277,11.385,17.976,3.711,4.3,3.919,9.264,12.528,8.117,4.156,9.38,3.366,16.073,9.546,15.593,4.267,7.631,4.167,5.482,25.354,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,4,2,4,4,2,2,5,3,3,4,4,2,1,1,1,1,1,3,15,yes,1.75,3,16.137,18.542,8.934,58.14,30.836,1.398,0.974,1.239,1.2,2.572,1.398,0.974,1.239,52.69,2.572,1,1,1,4,1,4,,2,19,1,The abortion scenario and the animal testing scenario. ,ÀEs apropriado a guardar sus relaciones antes de este relacin para quedar l o ella feliz y el relacin viva?,1,,1,14,0,2,3,4,5,7,7,7,7,13,14,27,21,,Yes,0
R_ext9BdRvNALXgEt,Default Response Set,Anonymous,0,0,11/3/15 22:08,11/3/15 22:29,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,2,16.558,17.934,48.336,44.069,9.965,31.176,13.476,104.408,34.547,21.684,47.304,17.172,53.676,23.27,29.062,9.019,25.065,89.376,16.351,11.455,15.341,20.462,44.303,15.196,16.337,20.983,27.805,7.162,20.685,37.116,12.154,16.844,10.218,12.765,38.27,8.517,29.486,11.469,101.842,33.48,15.341,20.462,44.303,16.423,52.791,20.983,27.805,7.162,22.868,87.658,12.154,16.844,10.218,12.765,38.27,8.517,29.486,11.469,101.842,33.48,1,1,1,2,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,4,4,3,1,1,4,4,2,1,1,1,1,1,8,29,No,2.25,5,39.767,23.558,14.383,37.471,23.553,1.446,15.351,1.488,9.449,0.941,38.572,15.351,1.488,34.575,21.312,2,1,1,2,3,4,,1,20,2,,Es apropriado para esconder su relacion anterior para mantener que el/ella sea feliz y que la relacion sea viva?,1,,1,14,0,5,5,6,5,7,7,7,7,0,0,0,1,"For the moral part, you may want to consider re-wording the answer. ""Is it appropriate"" seems misleading to me, unless that was the intent. I interpreted it more as ""is it better"".",Yes,0
R_39LAhJtkbWIabSR,Default Response Set,Anonymous,0,0,11/3/15 22:17,11/3/15 22:52,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,24.788,18.364,13.812,20.293,17.212,30.278,34.585,17.677,16.659,41.379,16.265,37.406,43.038,39.718,17.623,42.545,33.436,61.023,11.95,40.138,23.221,39.734,14.201,30.54,40.94,37.927,15.685,41.402,31.825,59.113,10.33,16.771,36.949,11.865,18.449,15.515,28.682,30.814,14.818,15.017,23.221,39.734,14.201,30.54,40.94,37.927,15.685,41.402,31.825,59.113,10.33,16.771,36.949,11.865,18.449,15.515,28.682,32.933,14.818,15.017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,3,3,3,1,4,2,2,5,4,3,1,1,1,1,1,4,30,No,2.25,5,194.322,42.444,25.336,65.776,120.666,11.668,23.468,13.557,54.834,117.694,188.451,23.468,13.557,54.834,117.694,4,1,1,1,1,,4,2,21,1,"Perhaps the cases are not familiar in a personal way, however, it is not unheard of to hear issues of abortion in different situations, as well as the morality of torture by our government, or when to shoot a criminal (like the border patrol examples).",ÀEs apropriado para que mantenga su relacin anterior un secreto para mantener a l o ella feliz y viva la relacin?,1,,1,13,0,5,5,6,5,7,7,7,7,0,0,10,0,"It may help to understand why people respond to the different scenarios, as well. Often times I kept wanting to say ""it depends"" or explain myself. Morality is not black and white or yes and no, and maybe that is not important for what you are getting at. However, I was never completely definite on my answers and I feel that can effect many people's responses, as well as the overall outcome of the survey ",Yes,0
R_6ziGm0aCksB4ndP,Default Response Set,Anonymous,0,0,11/3/15 22:37,11/3/15 23:04,1,,,,1,,,,1,1,1,,1,German,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,24.364,32.769,19.668,29.901,12.867,57.565,17.222,45.171,40.34,24.848,18.393,62.451,21.594,13.728,27.491,17.858,10.903,17.57,13.235,7.98,19.899,23.108,16.863,61.244,17.816,9.37,26.257,15.629,9.741,16.503,11.381,31.616,6.903,18.523,28.833,11.59,56.138,16.093,21.431,38.615,19.899,23.885,17.819,61.244,17.816,9.37,26.257,15.629,9.741,16.503,11.381,31.616,6.903,18.523,28.833,11.59,56.138,16.093,21.431,38.615,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,5,5,2,1,1,5,5,1,1,1,1,1,1,4,29,No  ,2.25,5,103.748,43.119,25.035,111.304,20.004,1.573,11.138,1.246,6.32,1.094,1.573,38.998,1.246,6.32,1.094,1,2,1,1,1,,4,1,20,1,Keeping secrets in relationships. It's always been something I've hated/feared I would do or would happen to me. I have a bad opinion about keeping secerets from one's SO.,ÀEs tico no informar su novio/novia actual de su ex-novio/novia para mantener una buena relacin?,1,,1,15,1.5,3,4,6,3,7,7,7,5,0,3,18,6,,Yes,0
R_eFjbS8QD8IIKHml,Default Response Set,Anonymous,0,0,11/3/15 22:32,11/3/15 23:06,1,,,,1,,,,1,1,,,1,Portuguese,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,19.47,24.847,25.289,32.001,22.018,33.109,16.613,107.32,80.15,17.489,21.464,21.563,18.421,39.601,17.668,36.349,30.242,17.721,18.629,29.205,15.777,15.14,17.747,17.589,13.307,32.597,15.29,34.818,24.912,13.442,17.146,20.91,25.835,21.276,28.297,17.906,8.866,12.706,87.133,38.291,15.777,15.14,17.747,17.589,13.307,32.597,15.29,34.818,24.912,13.442,17.146,20.91,25.835,21.276,28.297,17.906,29.301,12.706,87.133,52.744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,4,3,2,3,4,3,4,2,2,5,4,1,1,1,1,1,1,8,29,No,2.25,5,83.561,90.717,88.674,46.153,21.189,12.18,7.632,4.966,4.458,2.977,12.18,7.632,4.966,4.458,2.977,1,1,1,1,1,4,,1,22,2,,ÀEs apropiado que usted guarde secreta una relacin previa a fin de que l/ella sea feliz y que se mantenga su relacin?,1,,2,19,18,6,7,7,6,7,7,7,7,0,10,30,8,N/A,Yes,0
R_0oclT65AqZM3jOR,Default Response Set,Anonymous,0,0,11/3/15 23:13,11/3/15 23:32,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,24.471,22.658,14.522,49.647,21.001,18.479,35.449,22.212,28.472,29.417,46.386,24.046,27.466,31.512,19.819,11.993,24.788,13.702,22.007,8.58,23.2,1.461,34.521,17.031,23.622,1.912,18.253,10.53,21.044,11.578,15.597,20.075,7.209,11.601,39.198,15.83,15.66,32.867,19.766,25.85,23.2,28.017,44.326,19.877,23.622,30.209,18.253,10.53,23.072,12.296,15.597,21.929,7.209,11.601,41.367,17.209,15.66,32.867,19.766,25.85,1,2,2,3,1,3,1,1,2,2,1,2,1,1,2,2,1,1,1,1,5,1,5,5,1,1,4,2,2,4,3,2,1,1,1,1,1,4,30,No,2.25,5,74.342,9.06,14.206,38.149,43.221,2.258,2.659,1.012,3.246,4.248,4.01,2.659,1.467,3.246,4.248,2,1,2,1,1,,4,2,21,2,,Esta bien para ocultar tu relacion anterior para mantener la felicidad y la viva de tu relacion pres?ente,1,,1,14,0,4,4,4,4,7,7,7,7,0,3,6,4,Nope! Thank you!,Yes,0
R_42zaWZayGV3WXIh,Default Response Set,Anonymous,0,0,11/3/15 23:13,11/3/15 23:50,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,30.383,26.945,66.923,24.39,20.901,38.704,36.655,31.207,42.634,37.137,18.785,38.92,33.657,20.903,16.177,22.271,58.351,75.672,34.192,15.667,28.829,35.502,17.686,36.465,32.67,19.718,15.108,21.203,57.352,72.684,33.038,25.674,14.433,65.869,22.239,19.657,34.667,35.437,29.553,41.215,28.829,35.502,17.686,37.61,32.67,19.718,15.108,21.203,57.352,72.684,33.038,25.674,14.433,65.869,22.239,19.657,34.667,35.437,29.553,41.215,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,5,4,2,5,2,1,3,4,2,1,1,1,1,1,2,29,No,2.25,3,76.507,70.695,59.824,105.972,353.974,68.214,62.484,10.349,60.262,176.928,68.214,62.484,10.349,60.262,346.275,1,1,1,1,2,4,,2,21,2,,Es apropiado guardar en secreto su relacin anterior para mantener la felicidad de ella/l y mantener la relacin viva? ,1,,2,14,1,5,7,7,7,7,7,7,7,0,20,0,50,,Yes,0
R_0kTWGn2OA4BRKTP,Default Response Set,Anonymous,0,0,11/3/15 16:01,11/4/15 0:09,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,135.315,30.009,45.809,66.439,39.019,27.426,155.376,248.692,103.144,24.692,65.25,22.97,49.547,74.11,17.476,30.458,46.402,64.774,17.069,105.606,113.345,22.941,62.623,20.441,46.835,71.861,16.087,29.002,39.128,62.945,15.812,28.588,104.298,43.762,64.916,37.134,25.394,115.958,247.487,101.269,113.345,22.941,62.623,21.064,48.895,71.861,16.087,29.002,39.128,62.945,15.812,28.588,104.298,43.762,64.916,37.134,25.394,153.045,247.487,101.269,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,3,4,4,4,2,4,1,2,3,4,3,1,1,1,1,1,3,32,No,2.75,5,67.394,19.945,21.874,221.34,91.961,11.746,14.573,16.491,74.029,57.693,11.746,14.573,16.491,210.441,57.693,1,1,1,21,1,4,,1,18,1,The speeding car and time travel.,Crees que es adecuado guardar en secreto una relacin pasada para asegurar una relacin con su novio/a?,1,,2,13,1,4,5,5,4,7,7,7,7,4,55,31,45,,Yes,0
R_0e4pRzCh4V0JZuR,Default Response Set,Anonymous,1,1,10/21/15 16:49,10/21/15 16:51,1,,,,1,,,,,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,,,,,,,,,,1,,,,,,,,,1.359,12.578,1.153,1.214,1.209,1.422,2.147,1.034,1.416,0.98,0.98,6.557,1.688,2.095,1.802,1.314,1.286,1.029,1.235,1.248,0,0,0,3.44,0,0,0,0,0,0,0,3.111,0,0,0,0,0,1.854,0,0,0,0,0,4.879,0,0,0,0,0,0,0,7.775,0,0,0,0,0,1.854,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,,,,,,,,,,,1,1,1,1,1,,,,,,1.75,1.813,6.89,1.921,2.113,0,0,6.525,0,0,0,0,6.525,0,0,0,0,1,0,0,4,,,,,,,,,,0,0,,,,,,,,,,,,,,No,1
